File Name,Time [MJD],RV [m/s],RV [m/s] (raw),RV [m/s] (correction),RV Err. [m/s],Exp. Time [s],Airmass,Quality,Start Time [MJD],BERV [km/s],Time [eMJD],Instrument,CCF FWHM [km/s],CCF FWHM [km/s] (raw),CCF FWHM [km/s] (correction),CCF FWHM Err. [km/s],CCF Contrast,CCF Contrast (raw),CCF Contrast Err.,BIS [m/s],H-alpha Emission,CaII Emission
r.HARPN.2021-05-08T10-50-24.390_S2D_BLAZE_A.fits,59342.44836451998,460.636,445.01731158101137,15.618688418988675,0.005,300.0,1.1867545319513155,0.999702926972028,59342.451671180555,-0.212050473254424,,,6.932463252955738,6.874088632109726,0.8977484232687359,0.0213933281659629,-9598052.868415173,-9679559.338150894,20061.068069647743,-38.183333332575344,0.1727175451183285,0.1044267535444025
r.HARPN.2021-05-08T10-55-49.115_S2D_BLAZE_A.fits,59342.45212360006,461.525,445.9062793937096,15.618720606290315,0.005,300.0,1.171946872523606,0.9997746707955256,59342.45542957176,-0.21972254300809,,,6.930081855021994,6.87168741882236,0.8977452507830851,0.0213842471941841,-9594791.129982485,-9676326.040454969,20051.113108977996,-39.19999999924217,0.1738151652376511,0.1001290539742375
r.HARPN.2021-05-08T11-01-13.847_S2D_BLAZE_A.fits,59342.45588102983,461.291,445.67224722053885,15.618752779461152,0.005,300.0,1.1580423771372073,0.9998094314794675,59342.459188043984,-0.22750764629744,,,6.932671763233442,6.874299741436371,0.8977420796766302,0.0214362874182069,-9598244.387316765,-9679746.351395072,20098.747968379088,-39.58333333257508,0.1724940360085556,0.1053358445753288
r.HARPN.2021-05-08T11-06-39.346_S2D_BLAZE_A.fits,59342.45965012023,461.961,446.34221494752336,15.618785052476639,0.005,300.0,1.1449521034864905,0.9998657273866388,59342.46295539352,-0.235429113250087,,,6.930832229371656,6.872444998792643,0.8977388987154779,0.0215384313937967,-9592940.137485307,-9674440.274312364,20186.81487301666,-37.71666666590939,0.173436593418638,0.1072098106493144
r.HARPN.2021-05-08T11-12-04.077_S2D_BLAZE_A.fits,59342.46340788994,462.261,446.64218277144187,15.618817228558166,0.005,300.0,1.132716513202538,0.9998596368587164,59342.46671385417,-0.243434222391817,,,6.930695494352969,6.872307516357426,0.8977357272949349,0.021551814428282,-9602299.516953403,-9683881.845969968,20218.68224536286,-38.73333333257611,0.1734028180942455,0.1051517077709585
r.HARPN.2021-05-08T11-17-28.815_S2D_BLAZE_A.fits,59342.46716572996,461.13400000000007,445.51515059475827,15.618849405241768,0.005,300.0,1.121258789044677,0.999854390307354,59342.470472395835,-0.251542425162269,,,6.931495154241406,6.873114383707451,0.8977325558014673,0.0217123751862262,-9626730.392668737,-9708500.59270773,20420.797204985745,-40.61666666590885,0.1709583664583262,0.1057835188109278
r.HARPN.2021-05-08T11-22-54.314_S2D_BLAZE_A.fits,59342.47093829,461.523,445.9041182920338,15.61888170796623,0.005,300.0,1.1105056584180917,0.9998627380111226,59342.474239745374,-0.259781174724006,,,6.929917787986581,6.871524032056695,0.8977293718711268,0.0216225375365617,-9640755.770855984,-9722682.27461799,20370.54482033308,-40.133333332575624,0.1728784639076771,0.0998446828310608
r.HARPN.2021-05-08T11-28-19.048_S2D_BLAZE_A.fits,59342.47470615991,461.035,445.4160860294689,15.61891397053114,0.005,300.0,1.1004850355193538,0.9998657922017832,59342.47799824074,-0.268104192298823,,,6.931069659857783,6.872686106189042,0.897726191885465,0.0216068282668856,-9658421.657149497,-9740470.06885678,20386.411601338936,-38.499999999242306,0.1733067224353973,0.1094369020482603
r.HARPN.2021-05-08T11-44-33.247_S2D_BLAZE_A.fits,59342.48597154021,460.872,445.25298956911513,15.61901043088487,0.005,300.0,1.0745475562403135,0.9998578262233864,59342.48927369213,-0.293503635389996,,,6.930308355028571,6.871919575405869,0.8977166841116699,0.0217628599236263,-9689467.600109333,-9771796.297666984,20602.920816731716,-38.6333333325759,0.1738761835269609,0.1036665009854138
r.HARPN.2021-05-08T11-49-57.979_S2D_BLAZE_A.fits,59342.48973210016,461.696,446.07695736914206,15.619042630857981,0.005,300.0,1.0671546869946105,0.9998684009627024,59342.493032164355,-0.302138571264797,,,6.930755912093443,6.872371349581517,0.8977135102410612,0.0216207328075196,-9689548.317093646,-9771866.342510903,20464.90968713761,-39.73333333257545,0.171274645331131,0.1067974598394722
r.HARPN.2021-05-08T11-55-23.862_S2D_BLAZE_A.fits,59342.49350285018,461.857,446.237925081916,15.619074918084015,0.005,300.0,1.060344333895466,0.9998687602302264,59342.49680395833,-0.310867440846768,,,6.931814212194145,6.873439054782989,0.8977103277564918,0.0215800708322166,-9685663.338944493,-9767922.324226236,20416.77045998707,-39.48333333257536,0.1718833951478375,0.1054144191019287
r.HARPN.2021-05-08T12-00-48.598_S2D_BLAZE_A.fits,59342.49726449,461.363,445.74389287269645,15.619107127303552,0.005,300.0,1.0541343495600823,0.9998681119883576,59342.50056247685,-0.319640383888191,,,6.931313889459637,6.872934897244658,0.8977071529472364,0.0217884874721635,-9687413.37465957,-9769698.663031682,20619.705443629708,-38.26666666590894,0.1727581922631746,0.1073728686422877
r.HARPN.2021-05-08T12-06-13.328_S2D_BLAZE_A.fits,59342.50102155004,461.598,445.9788607026915,15.619139297308514,0.005,300.0,1.0484985551500794,0.9998604554024354,59342.50432092592,-0.328462982266199,,,6.929611212807517,6.871218168664671,0.8977039819897091,0.021827102076817,-9691667.39703436,-9774029.2065769,20669.891821945,-39.01666666590875,0.1729210442814072,0.1054885700168514
r.HARPN.2021-05-08T12-11-37.684_S2D_BLAZE_A.fits,59342.50478192,461.717,446.09782850434516,15.619171495654829,0.005,300.0,1.043410911620506,0.9998659292301482,59342.508075046295,-0.337348754501956,,,6.929071719238478,6.870674504680209,0.8977008082250164,0.0218174130151691,-9698322.696373777,-9780753.47241617,20678.11732430295,-39.74999999924289,0.171516167470839,0.1053997669614354
r.HARPN.2021-05-08T12-17-02.414_S2D_BLAZE_A.fits,59342.50853377022,461.378,445.75879637894957,15.619203621050474,0.005,300.0,1.0388739132989542,0.9998453694613404,59342.51183349537,-0.346264708829271,,,6.929483492236732,6.871090191038094,0.8976976416374575,0.021792069522831,-9699528.129117498,-9781958.638946485,20654.63979579951,-38.866666665909655,0.1707981090607264,0.106056705015658
r.HARPN.2021-05-08T12-22-28.302_S2D_BLAZE_A.fits,59342.5123011102,460.619,444.9997641209222,15.619235879077898,0.005,300.0,1.034849030293851,0.9997858523562916,59342.515605347224,-0.355262765257474,,,6.927967842330109,6.869562073183516,0.8976944619628122,0.0217760098650494,-9707714.1350492,-9790250.183879172,20661.09073280275,-39.366666665909214,0.1713394064812618,0.1061910344797497
